member,party,chamber,state,district,bioguide_id,entity_group,giver,recipient_committee,recipient_committee_id,amount_usd,date,cycle,kind,fec_sub_id,source_url,record_id
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-04-29,2026,individual contribution,4080120261540357769,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087204,HM1113
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,1100.00,2026-05-12,2026,individual contribution,4080120261540357640,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087161,HM1230
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-13,2026,individual contribution,4080120261540357678,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087174,HM1238
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-13,2026,individual contribution,4080120261540357679,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087174,HM1239
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-18,2026,individual contribution,4080220261540450806,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087974,HM1257
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-18,2026,individual contribution,4080220261540450807,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087975,HM1258
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-18,2026,individual contribution,4080220261540450822,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087980,HM1259
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-18,2026,individual contribution,4080220261540450823,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087980,HM1260
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-19,2026,individual contribution,4080220261540450715,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087944,HM1277
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-19,2026,individual contribution,4080220261540450716,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087944,HM1278
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-20,2026,individual contribution,4080220261540450826,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087981,HM1286
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-20,2026,individual contribution,4080220261540450827,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087981,HM1287
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-05-26,2026,individual contribution,4080220261540450728,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087948,HM1333
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-06-01,2026,individual contribution,4080220261540450754,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087957,HM1383
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,3500.00,2026-06-01,2026,individual contribution,4080220261540450755,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087957,HM1384
Mike Rounds,R,Senate,SD,,R000605,Anthropic employees,Anthropic employee,ROUNDS FOR SENATE,C00532465,1000.00,2026-06-01,2026,individual contribution,4080220261540450805,https://docquery.fec.gov/cgi-bin/fecimg/?202607159890087974,HM1385
